ID,Name,Age,Gender,Country
1,John Doe,32,Male,United States
2,Jane Doe,28,Female,Canada
3,Alex Smith,45,Male,United Kingdom
4,Emma Watson,30,Female,France
5,Michael Jordan,55,Male,United States
6,Jennifer Lopez,50,Female,Mexico
7,LeBron James,36,Male,United States
8,Taylor Swift,31,Female,United States
9,Elon Musk,49,Male,South Africa
10,Cristiano Ronaldo,37,Male,Portugal
11,Lady Gaga,35,Female,United States
12,Lionel Messi,33,Male,Argentina
13,Beyonce Knowles,39,Female,United States
14,Mark Zuckerberg,38,Male,United States
15,Katy Perry,36,Female,United States
16,Neymar Jr.,30,Male,Brazil
17,Robert Downey Jr.,54,Male,United States
18,Dwayne Johnson,48,Male,United States
19,Serena Williams,40,Female,United States
20,Justin Bieber,27,Male,Canada
