ID,Name,Age,Gender,Country
21,Tom Cruise,58,Male,United States
22,Emily Blunt,39,Female,United Kingdom
23,Brad Pitt,57,Male,United States
24,Angelina Jolie,45,Female,United States
25,Ryan Reynolds,44,Male,Canada
26,Emma Stone,33,Female,United States
27,David Beckham,46,Male,United Kingdom
28,Megan Fox,35,Female,United States
29,Leonardo DiCaprio,47,Male,United States
30,Alicia Keys,41,Female,United States
31,Will Smith,52,Male,United States
32,Zac Efron,34,Male,United States
33,Natalie Portman,40,Female,Israel
34,Chris Hemsworth,39,Male,Australia
35,Margot Robbie,30,Female,Australia
36,Denzel Washington,65,Male,United States
37,Gal Gadot,35,Female,Israel
38,Idris Elba,50,Male,United Kingdom
39,Charlize Theron,45,Female,South Africa
40,Henry Cavill,39,Male,United Kingdom
